LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate 2015 (%),Unemployment Rate 2016 (%),Unemployment Rate 2017 (%),Unemployment Rate 2018 (%),Unemployment Rate 2019 (%),Pop 2015,Pop 2016,Pop 2017,Pop 2018,Pop 2019,GDP 2015,GDP 2016,GDP 2017,GDP 2018,GDP 2019,,,
CN0107700000000,1,77,"Lauderdale County, AL",2016,"43,009","40,246","2,763",6.9,6.3,4.6,4.1,3.3,92459,92425,92564,92604,92729,39020,39211,39599,40599,41389,,,
CN0107900000000,1,79,"Lawrence County, AL",2016,"13,729","12,763",966,7.7,6.9,4.9,4.1,3.1,33135,33227,33063,32941,32924,39020,39211,39599,40599,41389,,,
CN0108100000000,1,81,"Lee County, AL",2016,"72,893","69,066","3,827",5.2,5.2,4,3.6,2.7,156954,159168,161440,163656,164542,39020,39211,39599,40599,41389,,,
CN0108300000000,1,83,"Limestone County, AL",2016,"40,575","38,424","2,151",5.5,5.2,4,3.5,2.6,91565,92847,94130,96177,98915,39020,39211,39599,40599,41389,,,
CN0108500000000,1,85,"Lowndes County, AL",2016,"3,803","3,394",409,11.5,10.5,8.2,7.2,5.7,10350,10248,10097,9974,9726,39020,39211,39599,40599,41389,,,
CN0108700000000,1,87,"Macon County, AL",2016,"7,981","7,364",617,8,7.6,5.8,5.3,4.3,19296,19060,18793,18321,18068,39020,39211,39599,40599,41389,,,
CN0108900000000,1,89,"Madison County, AL",2016,"173,295","164,279","9,016",5.5,5.1,3.9,3.4,2.5,352977,356729,361762,367004,372909,39020,39211,39599,40599,41389,,,
CN0109100000000,1,91,"Marengo County, AL",2016,"7,640","7,072",568,7.6,7.1,5.6,4.9,3.5,19766,19525,19396,19056,18863,39020,39211,39599,40599,41389,,,
CN0109300000000,1,93,"Marion County, AL",2016,"12,586","11,741",845,6.9,6.6,4.8,4,3.4,30119,29960,29792,29750,29709,39020,39211,39599,40599,41389,,,
CN0109500000000,1,95,"Marshall County, AL",2016,"41,255","38,994","2,261",5.8,5.3,3.8,3.3,2.5,94585,95113,95572,96170,96774,39020,39211,39599,40599,41389,,,
CN0109700000000,1,97,"Mobile County, AL",2016,"185,092","172,376","12,716",6.9,6.6,5.2,4.6,3.7,414462,414945,414045,413908,413210,39020,39211,39599,40599,41389,,,
CN0109900000000,1,99,"Monroe County, AL",2016,"7,281","6,600",681,10.1,9,6.7,6,4.9,21717,21548,21290,21062,20733,39020,39211,39599,40599,41389,,,
CN0110100000000,1,101,"Montgomery County, AL",2016,"104,822","98,688","6,134",6.1,5.6,4.3,3.9,3.1,227279,227170,227265,226504,226486,39020,39211,39599,40599,41389,,,
CN0110300000000,1,103,"Morgan County, AL",2016,"55,331","52,235","3,096",5.9,5.5,4.1,3.4,2.6,119257,119006,118918,119203,119679,39020,39211,39599,40599,41389,,,
CN0110500000000,1,105,"Perry County, AL",2016,"3,467","3,100",367,10,10.3,7.8,6.4,5.2,9640,9532,9302,9070,8923,39020,39211,39599,40599,41389,,,
CN0110700000000,1,107,"Pickens County, AL",2016,"7,994","7,439",555,6.8,6.8,5.4,4.5,3.5,20776,20325,20204,19980,19930,39020,39211,39599,40599,41389,,,
CN0110900000000,1,109,"Pike County, AL",2016,"15,157","14,188",969,6.6,6.5,4.9,4.5,3.3,33496,33464,33349,33242,33114,39020,39211,39599,40599,41389,,,
CN0111100000000,1,111,"Randolph County, AL",2016,"9,491","8,952",539,5.9,5.6,4.4,4,3,22594,22504,22687,22727,22722,39020,39211,39599,40599,41389,,,
CN0111300000000,1,113,"Russell County, AL",2016,"24,007","22,653","1,354",5.9,5.5,4.3,4,2.9,58844,58185,56985,57784,57961,39020,39211,39599,40599,41389,,,
CN0111500000000,1,115,"St. Clair County, AL",2016,"38,588","36,533","2,055",5.2,5.2,4,3.4,2.7,86546,87306,87926,88654,89512,39020,39211,39599,40599,41389,,,
CN0111700000000,1,117,"Shelby County, AL",2016,"108,320","103,555","4,765",4.2,4.3,3.2,2.8,2.2,208959,211282,213633,215583,217702,39020,39211,39599,40599,41389,,,
CN0111900000000,1,119,"Sumter County, AL",2016,"5,143","4,741",402,8,7.7,6.6,5.7,4.5,13206,12967,12749,12634,12427,39020,39211,39599,40599,41389,,,
CN0112100000000,1,121,"Talladega County, AL",2016,"34,781","32,429","2,352",6.6,6.6,5,4.2,3.4,81128,80552,80142,80137,79978,39020,39211,39599,40599,41389,,,
CN0112300000000,1,123,"Tallapoosa County, AL",2016,"18,906","17,847","1,059",6.1,5.6,4.2,4.1,3,40605,40586,40613,40535,40367,39020,39211,39599,40599,41389,,,
CN0112500000000,1,125,"Tuscaloosa County, AL",2016,"98,533","92,848","5,685",5.4,5.6,4.2,3.6,2.7,204767,206464,207618,208319,209355,39020,39211,39599,40599,41389,,,
CN0112700000000,1,127,"Walker County, AL",2016,"25,658","23,706","1,952",7.2,7.4,5,4.2,3.3,64931,64533,63895,63669,63521,39020,39211,39599,40599,41389,,,
CN0112900000000,1,129,"Washington County, AL",2016,"6,776","6,184",592,8.9,8.6,6.8,5.7,4.6,16832,16621,16522,16402,16326,39020,39211,39599,40599,41389,,,
CN0113100000000,1,131,"Wilcox County, AL",2016,"2,809","2,396",413,14.6,14.4,11.4,9.4,7.1,10896,10844,10691,10599,10373,39020,39211,39599,40599,41389,,,
CN0113300000000,1,133,"Winston County, AL",2016,"9,403","8,714",689,7.5,7.1,5,4.1,3.3,23930,23907,23760,23693,23629,39020,39211,39599,40599,41389,,,
CN0201300000000,2,13,"Aleutians East Borough, AK",2016,"2,498","2,430",68,3.2,2.7,2.5,3.1,2.8,3373,3363,3455,3395,3337,72948,71091,71282,72221,74422,,,
CN0201600000000,2,16,"Aleutians West Census Area, AK",2016,"3,907","3,780",127,3.9,3.3,3.7,3.5,3.6,5781,5705,5729,5640,5634,72948,71091,71282,72221,74422,,,
CN0202000000000,2,20,"Anchorage Borough/municipality, AK",2016,"156,112","147,886","8,226",5,5.5,5.8,5.4,5.1,297547,297249,294338,290521,288000,72948,71091,71282,72221,74422,,,
CN0205000000000,2,50,"Bethel Census Area, AK",2016,"7,018","6,029",989,14.4,14.2,13.4,12.7,12.9,17955,18022,18090,18219,18386,72948,71091,71282,72221,74422,,,
CN0206000000000,2,60,"Bristol Bay Borough, AK",2016,403,375,28,9.4,7,6.2,6.1,6.1,904,902,869,880,836,72948,71091,71282,72221,74422,,,
CN0206800000000,2,68,"Denali Borough, AK",2016,"1,107","1,012",95,8.8,9.1,8.9,7.8,8.5,1933,2055,2084,2032,2097,72948,71091,71282,72221,74422,,,
CN0207000000000,2,70,"Dillingham Census Area, AK",2016,"1,983","1,791",192,9.7,9.6,8.9,8,8.1,4988,4970,4940,4991,4916,72948,71091,71282,72221,74422,,,
CN0209000000000,2,90,"Fairbanks North Star Borough, AK",2016,"46,098","43,491","2,607",5.5,5.9,6.1,5.7,5.4,99636,100633,99675,98565,96849,72948,71091,71282,72221,74422,,,
CN0210000000000,2,100,"Haines Borough, AK",2016,"1,077",971,106,9.8,10.3,8.8,9.6,8.9,2516,2531,2524,2488,2530,72948,71091,71282,72221,74422,,,
CN0210500000000,2,105,"Hoonah-Angoon Census Area, AK",2016,"1,202","1,064",138,15.2,11.8,12.1,12.4,11.4,2132,2121,2139,2155,2148,72948,71091,71282,72221,74422,,,
CN0211000000000,2,110,"Juneau Borough/city, AK",2016,"17,162","16,412",750,4.7,4.5,4.6,4.3,4.4,32615,32412,32098,32037,31974,72948,71091,71282,72221,74422,,,
CN0212200000000,2,122,"Kenai Peninsula Borough, AK",2016,"27,189","24,972","2,217",7.8,8.5,8.2,7.5,6.8,58034,58458,58558,58561,58708,72948,71091,71282,72221,74422,,,
CN0213000000000,2,130,"Ketchikan Gateway Borough, AK",2016,"7,028","6,589",439,6.9,6.5,6.1,6,6.2,13702,13707,13834,13856,13901,72948,71091,71282,72221,74422,,,
CN0215000000000,2,150,"Kodiak Island Borough, AK",2016,"6,417","6,098",319,4.8,5.1,5,5.8,5.6,13767,13728,13512,13250,12998,72948,71091,71282,72221,74422,,,
CN0215800000000,2,158,"Kusilvak Census Area, AK",2016,"2,660","2,094",566,23.1,21.6,19.6,19.6,19.3,8194,8181,8236,8323,8314,72948,71091,71282,72221,74422,,,
CN0216400000000,2,164,"Lake and Peninsula Borough, AK",2016,633,555,78,12.5,12.5,11.7,10.9,9.9,1595,1600,1612,1596,1592,72948,71091,71282,72221,74422,,,
CN0217000000000,2,170,"Matanuska-Susitna Borough, AK",2016,"46,065","42,356","3,709",7.7,8.2,8.2,7.4,6.9,101062,104119,106232,107115,108317,72948,71091,71282,72221,74422,,,
CN0218000000000,2,180,"Nome Census Area, AK",2016,"3,987","3,488",499,11.9,12.7,12,11.3,10.9,9893,9966,10025,10053,10004,72948,71091,71282,72221,74422,,,
CN0218500000000,2,185,"North Slope Borough, AK",2016,"3,968","3,711",257,5.7,6.8,7.4,6.8,6.4,9788,9694,9795,9850,9832,72948,71091,71282,72221,74422,,,
CN0218800000000,2,188,"Northwest Arctic Borough, AK",2016,"2,889","2,434",455,16,16,16.1,13.6,14,7772,7691,7795,7694,7621,72948,71091,71282,72221,74422,,,
CN0219500000000,2,195,"Petersburg Borough, AK",2016,"1,450","1,325",125,8.9,9,9.1,8.6,8.7,3253,3260,3264,3244,3266,72948,71091,71282,72221,74422,,,
CN0219800000000,2,198,"Prince of Wales-Hyder Census Area, AK",2016,"2,780","2,456",324,12.6,12.2,11,10.6,10.1,6508,6519,6444,6360,6203,72948,71091,71282,72221,74422,,,
CN0222000000000,2,220,"Sitka Borough/city, AK",2016,"4,425","4,233",192,4.6,4.6,4.5,4.1,4.2,8778,8736,8641,8554,8493,72948,71091,71282,72221,74422,,,
CN0223000000000,2,230,"Skagway Municipality, AK",2016,801,716,85,11.6,11.2,10.2,9.4,9.2,1088,1132,1167,1169,1183,72948,71091,71282,72221,74422,,,
CN0224000000000,2,240,"Southeast Fairbanks Census Area, AK",2016,"3,019","2,711",308,10.7,10.8,10.2,9.5,9,6812,6857,6892,6937,6893,72948,71091,71282,72221,74422,,,
CN0226100000000,2,261,"Valdez-Cordova Census Area, AK",2016,"4,851","4,453",398,8.7,8.6,7.7,7.2,7.5,9319,9314,9220,9161,9202,72948,71091,71282,72221,74422,,,
CN0227500000000,2,275,"Wrangell Borough/city, AK",2016,"1,047",971,76,7.9,7.5,7.6,6.9,7.7,2453,2496,2521,2538,2502,72948,71091,71282,72221,74422,,,
CN0228200000000,2,282,"Yakutat Borough/city, AK",2016,247,227,20,8.5,8.2,9.1,8.1,7.7,635,612,602,596,579,72948,71091,71282,72221,74422,,,
CN0229000000000,2,290,"Yukon-Koyukuk Census Area, AK",2016,"2,405","1,991",414,18.4,17.9,17.5,14.6,14,5465,5423,5409,5359,5230,72948,71091,71282,72221,74422,,,
CN0400100000000,4,1,"Apache County, AZ",2016,"20,064","17,791","2,273",13.3,11.4,10.2,9.8,9.9,71012,71381,71545,71731,71887,41031,41669,42505,43546,44161,,,
CN0400300000000,4,3,"Cochise County, AZ",2016,"50,187","47,116","3,071",7.3,6.2,5.5,5.5,5.7,126454,125686,124864,126411,125922,41031,41669,42505,43546,44161,,,
CN0400500000000,4,5,"Coconino County, AZ",2016,"74,287","69,890","4,397",6.5,6,5.5,5.4,5.5,138962,140407,141001,142523,143476,41031,41669,42505,43546,44161,,,
CN0400700000000,4,7,"Gila County, AZ",2016,"20,976","19,472","1,504",7.9,7.2,6,5.7,5.5,52978,53356,53578,53801,54018,41031,41669,42505,43546,44161,,,
CN0400900000000,4,9,"Graham County, AZ",2016,"14,307","13,352",955,7.3,6.7,5.4,5,4.8,37860,37807,37481,37995,38837,41031,41669,42505,43546,44161,,,
CN0401100000000,4,11,"Greenlee County, AZ",2016,"3,898","3,602",296,7.9,7.6,5,4.1,3.9,9577,9643,9443,9448,9498,41031,41669,42505,43546,44161,,,
CN0401200000000,4,12,"La Paz County, AZ",2016,"8,493","7,985",508,7.4,6,5.4,6.1,5.8,20466,20648,20706,21039,21108,41031,41669,42505,43546,44161,,,
CN0401300000000,4,13,"Maricopa County, AZ",2016,"2,076,894","1,983,156","93,738",5.1,4.6,4.2,4.1,4,4172905,4256143,4327184,4402403,4485414,41031,41669,42505,43546,44161,,,
CN0401500000000,4,15,"Mohave County, AZ",2016,"80,432","75,138","5,294",7.9,6.6,5.8,5.6,5.7,204574,205412,207017,209292,212181,41031,41669,42505,43546,44161,,,
CN0401700000000,4,17,"Navajo County, AZ",2016,"41,331","37,967","3,364",9.7,8.2,7.6,7.6,7.3,107638,108467,109079,110242,110924,41031,41669,42505,43546,44161,,,
CN0401900000000,4,19,"Pima County, AZ",2016,"472,015","448,937","23,078",5.5,4.9,4.5,4.4,4.4,1009103,1016707,1026391,1036554,1047279,41031,41669,42505,43546,44161,,,
CN0402100000000,4,21,"Pinal County, AZ",2016,"161,850","152,976","8,874",6.3,5.5,5,4.9,4.9,405614,417193,431564,446806,462789,41031,41669,42505,43546,44161,,,
CN0402300000000,4,23,"Santa Cruz County, AZ",2016,"19,288","17,377","1,911",11.5,10,9.4,9.1,8.5,46542,46400,46566,46395,46498,41031,41669,42505,43546,44161,,,
CN0402500000000,4,25,"Yavapai County, AZ",2016,"99,838","94,987","4,851",5.6,4.9,4.5,4.4,4.4,220805,224575,228082,231772,235099,41031,41669,42505,43546,44161,,,
CN0402700000000,4,27,"Yuma County, AZ",2016,"94,005","76,519","17,486",21.7,18.8,16.9,16.7,16.4,205186,207247,209507,211612,213787,41031,41669,42505,43546,44161,,,
CN0500100000000,5,1,"Arkansas County, AR",2016,"9,309","8,987",322,4.2,3.4,3.2,3.3,3,18330,18154,17872,17726,17486,38233,38309,38432,38971,39580,,,
CN0500300000000,5,3,"Ashley County, AR",2016,"7,833","7,338",495,7.5,6.1,5.6,5.2,5.4,20838,20530,20311,20012,19657,38233,38309,38432,38971,39580,,,
CN0500500000000,5,5,"Baxter County, AR",2016,"16,102","15,404",698,5.5,4.3,4.3,4.1,4,41138,41131,41308,41624,41932,38233,38309,38432,38971,39580,,,
CN0500700000000,5,7,"Benton County, AR",2016,"126,311","122,628","3,683",3.8,2.9,3,2.9,2.6,251591,259212,266585,272266,279141,38233,38309,38432,38971,39580,,,
CN0500900000000,5,9,"Boone County, AR",2016,"16,013","15,421",592,4.9,3.7,3.4,3.5,3.2,37119,37259,37459,37385,37432,38233,38309,38432,38971,39580,,,
CN0501100000000,5,11,"Bradley County, AR",2016,"4,387","4,158",229,5.8,5,4.6,4.3,4.1,10999,10959,10813,10838,10763,38233,38309,38432,38971,39580,,,
CN0501300000000,5,13,"Calhoun County, AR",2016,"2,401","2,288",113,5.4,4.6,3.9,3.8,4.4,5200,5143,5201,5227,5189,38233,38309,38432,38971,39580,,,
CN0501500000000,5,15,"Carroll County, AR",2016,"12,966","12,505",461,4.6,3.6,3.3,3.2,3.1,27755,27728,27865,28097,28380,38233,38309,38432,38971,39580,,,
CN0501700000000,5,17,"Chicot County, AR",2016,"3,587","3,349",238,9.1,6.6,6.5,6.7,6.9,10970,10899,10647,10442,10118,38233,38309,38432,38971,39580,,,
CN0501900000000,5,19,"Clark County, AR",2016,"9,460","9,039",421,5.4,4.3,3.9,3.6,3.8,22513,22602,22184,22313,22320,38233,38309,38432,38971,39580,,,
CN0502100000000,5,21,"Clay County, AR",2016,"6,070","5,725",345,6.6,5.6,4.5,4.3,4.9,15206,15060,14865,14763,14551,38233,38309,38432,38971,39580,,,
CN0502300000000,5,23,"Cleburne County, AR",2016,"9,534","8,965",569,6.9,5.9,4.9,4.5,4.5,25355,25173,25059,24994,24919,38233,38309,38432,38971,39580,,,
CN0502500000000,5,25,"Cleveland County, AR",2016,"3,335","3,183",152,5.6,4.5,4.3,3.8,3.9,8284,8245,8162,7995,7956,38233,38309,38432,38971,39580,,,
CN0502700000000,5,27,"Columbia County, AR",2016,"9,289","8,750",539,6.5,5.7,5,4.7,4.5,24115,24026,23695,23586,23457,38233,38309,38432,38971,39580,,,
CN0502900000000,5,29,"Conway County, AR",2016,"8,462","7,973",489,6.1,5.7,4.8,4.3,4.3,20936,20874,20810,20825,20846,38233,38309,38432,38971,39580,,,
CN0503100000000,5,31,"Craighead County, AR",2016,"52,140","50,438","1,702",4.4,3.2,3,3,2.8,104457,105932,107188,108816,110332,38233,38309,38432,38971,39580,,,
CN0503300000000,5,33,"Crawford County, AR",2016,"26,876","25,817","1,059",5.2,3.9,3.5,3.5,3.3,61904,62263,62894,63379,63257,38233,38309,38432,38971,39580,,,
CN0503500000000,5,35,"Crittenden County, AR",2016,"21,535","20,547",988,6.1,4.5,4.4,4.3,4.2,49019,49306,48716,48363,47955,38233,38309,38432,38971,39580,,,
CN0503700000000,5,37,"Cross County, AR",2016,"7,961","7,606",355,5.4,4.4,4,4.1,4.2,17255,17025,16792,16630,16419,38233,38309,38432,38971,39580,,,
CN0503900000000,5,39,"Dallas County, AR",2016,"2,917","2,770",147,6.9,4.8,4.4,4.2,4.7,7530,7399,7307,7152,7009,38233,38309,38432,38971,39580,,,
CN0504100000000,5,41,"Desha County, AR",2016,"5,477","5,176",301,7.3,5.4,4.8,4.4,4.5,12029,11905,11743,11507,11361,38233,38309,38432,38971,39580,,,
CN0504300000000,5,43,"Drew County, AR",2016,"7,891","7,433",458,6.8,5.7,5.1,4.8,5.2,18613,18553,18370,18328,18219,38233,38309,38432,38971,39580,,,
CN0504500000000,5,45,"Faulkner County, AR",2016,"60,491","58,175","2,316",4.6,3.8,3.3,3.2,3,121241,122206,123530,125138,126007,38233,38309,38432,38971,39580,,,
CN0504700000000,5,47,"Franklin County, AR",2016,"7,363","7,061",302,4.9,4,3.5,3.5,3.4,17749,17655,17809,17764,17715,38233,38309,38432,38971,39580,,,
CN0504900000000,5,49,"Fulton County, AR",2016,"4,692","4,487",205,5.2,4.3,4.2,4,4,12138,12099,12131,12308,12477,38233,38309,38432,38971,39580,,,
CN0505100000000,5,51,"Garland County, AR",2016,"40,148","38,406","1,742",5.5,4.3,4,4,3.7,97814,98282,98327,98966,99386,38233,38309,38432,38971,39580,,,
CN0505300000000,5,53,"Grant County, AR",2016,"8,320","8,018",302,4.5,3.6,3.2,3.1,3.2,18016,18064,18103,18180,18265,38233,38309,38432,38971,39580,,,
CN0505500000000,5,55,"Greene County, AR",2016,"19,877","19,020",857,5.2,4.3,3.7,3.4,3.5,44300,44730,44993,45339,45325,38233,38309,38432,38971,39580,,,
CN0505700000000,5,57,"Hempstead County, AR",2016,"9,945","9,565",380,4.9,3.8,3.4,3.5,3.8,22085,22032,21876,21685,21532,38233,38309,38432,38971,39580,,,
CN0505900000000,5,59,"Hot Spring County, AR",2016,"14,132","13,570",562,5,3.9,3.7,3.7,3.6,33497,33438,33606,33672,33771,38233,38309,38432,38971,39580,,,
CN0506100000000,5,61,"Howard County, AR",2016,"5,942","5,744",198,4.2,3.3,3,3.4,3.3,13336,13350,13365,13302,13202,38233,38309,38432,38971,39580,,,
CN0506300000000,5,63,"Independence County, AR",2016,"16,008","15,210",798,6.4,4.9,4.2,4,4,37035,37117,37391,37768,37825,38233,38309,38432,38971,39580,,,
CN0506500000000,5,65,"Izard County, AR",2016,"4,989","4,708",281,6.6,5.6,5.5,5.4,5.5,13487,13488,13666,13582,13629,38233,38309,38432,38971,39580,,,
CN0506700000000,5,67,"Jackson County, AR",2016,"6,099","5,718",381,7.5,6.2,5.9,6,6.5,17365,17282,17017,16753,16719,38233,38309,38432,38971,39580,,,
CN0506900000000,5,69,"Jefferson County, AR",2016,"28,590","26,983","1,607",7,5.6,5.2,5.2,5.5,71872,70407,69238,68067,66824,38233,38309,38432,38971,39580,,,
CN0507100000000,5,71,"Johnson County, AR",2016,"10,518","10,013",505,5.7,4.7,4.3,4.5,4.6,26094,26127,26401,26659,26578,38233,38309,38432,38971,39580,,,
CN0507300000000,5,73,"Lafayette County, AR",2016,"2,576","2,424",152,7.5,5.8,5,5.1,4.7,7010,6888,6797,6679,6624,38233,38309,38432,38971,39580,,,
CN0507500000000,5,75,"Lawrence County, AR",2016,"6,942","6,639",303,6,4.3,3.8,3.9,4.2,16696,16639,16571,16432,16406,38233,38309,38432,38971,39580,,,
CN0507700000000,5,77,"Lee County, AR",2016,"3,130","2,979",151,6.6,4.7,4.8,4.8,4.5,9672,9337,9127,8976,8857,38233,38309,38432,38971,39580,,,
CN0507900000000,5,79,"Lincoln County, AR",2016,"4,088","3,887",201,6.1,4.8,4.2,4.2,4.4,13866,13728,13475,13184,13024,38233,38309,38432,38971,39580,,,
CN0508100000000,5,81,"Little River County, AR",2016,"5,655","5,390",265,5.4,4.7,4.8,5.2,4.3,12402,12406,12373,12297,12259,38233,38309,38432,38971,39580,,,
